case,num_nodes,num_sources,avg_degree,budget,gnn,random,max_degree_static,max_degree_dynamic
2.0,50.0,1.0,1.0,2.0,0.04666666666666667,0.10888888888888888,0.04,0.04
2.0,50.0,1.0,1.0,3.0,0.031111111111111114,0.1111111111111111,0.04,0.04
2.0,50.0,1.0,2.0,1.0,0.68,0.7599999999999999,0.6,0.6
2.0,50.0,1.0,2.0,2.0,0.64,0.5133333333333333,0.32,0.32
2.0,50.0,1.0,2.0,3.0,0.6066666666666666,0.4066666666666667,0.04,0.04
2.0,50.0,1.0,3.0,1.0,0.6799999999999999,0.812,0.46799999999999997,0.632
2.0,50.0,1.0,3.0,2.0,0.6,0.6719999999999999,0.46799999999999997,0.46799999999999997
2.0,50.0,1.0,3.0,3.0,0.532,0.62,0.21600000000000003,0.21600000000000003
2.0,50.0,1.0,4.0,1.0,0.9040000000000001,0.8960000000000001,0.528,0.528
2.0,50.0,1.0,4.0,2.0,0.8240000000000001,0.736,0.44000000000000006,0.46799999999999997
2.0,50.0,1.0,4.0,3.0,0.744,0.6719999999999999,0.44000000000000006,0.44000000000000006
2.0,50.0,2.0,1.0,1.0,0.22000000000000003,0.20800000000000002,0.036,0.052000000000000005
2.0,50.0,2.0,1.0,2.0,0.068,0.13999999999999999,0.02,0.02
2.0,50.0,2.0,1.0,3.0,0.052000000000000005,0.128,0.02,0.02
2.0,50.0,2.0,2.0,1.0,0.3333333333333333,0.6733333333333333,0.36000000000000004,0.36000000000000004
2.0,50.0,2.0,2.0,2.0,0.3133333333333333,0.48666666666666664,0.36000000000000004,0.36000000000000004
2.0,50.0,2.0,2.0,3.0,0.30666666666666664,0.35333333333333333,0.3,0.3
2.0,50.0,2.0,3.0,1.0,0.5428571428571428,0.6342857142857143,0.2742857142857143,0.4257142857142857
2.0,50.0,2.0,3.0,2.0,0.36,0.6114285714285714,0.2742857142857143,0.2742857142857143
2.0,50.0,2.0,3.0,3.0,0.33714285714285713,0.5057142857142857,0.2742857142857143,0.2742857142857143
2.0,50.0,2.0,4.0,1.0,0.648,0.716,0.42400000000000004,0.42400000000000004
2.0,50.0,2.0,4.0,2.0,0.588,0.634,0.364,0.364
2.0,50.0,2.0,4.0,3.0,0.528,0.542,0.364,0.364
2.0,50.0,3.0,1.0,1.0,0.13,0.24,0.05,0.07
2.0,50.0,3.0,1.0,2.0,0.09,0.14,0.03,0.04
2.0,50.0,3.0,1.0,3.0,0.08,0.09000000000000001,0.02,0.02
2.0,50.0,3.0,2.0,1.0,0.5914285714285714,0.74,0.3,0.3
2.0,50.0,3.0,2.0,2.0,0.5057142857142857,0.5885714285714286,0.3,0.3
2.0,50.0,3.0,2.0,3.0,0.44857142857142857,0.38285714285714284,0.3,0.3
2.0,50.0,3.0,3.0,1.0,0.45499999999999996,0.675,0.26,0.42000000000000004
2.0,50.0,3.0,3.0,2.0,0.32,0.605,0.26,0.26
2.0,50.0,3.0,3.0,3.0,0.295,0.475,0.26,0.26
2.0,50.0,3.0,4.0,1.0,0.1,0.86,0.22,0.48
2.0,50.0,3.0,4.0,2.0,0.1,0.84,0.12,0.12
2.0,50.0,3.0,4.0,3.0,0.1,0.76,0.12,0.12
3.0,10.0,1.0,1.0,1.0,0.16666666666666666,0.20000000000000004,0.16666666666666666,0.16666666666666666
3.0,10.0,1.0,1.0,2.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
3.0,10.0,1.0,1.0,3.0,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
3.0,10.0,1.0,2.0,1.0,0.25,0.19999999999999998,0.19999999999999998,0.18333333333333335
3.0,10.0,1.0,2.0,2.0,0.16666666666666666,0.15,0.10000000000000002,0.11666666666666668
3.0,10.0,1.0,2.0,3.0,0.15,0.13333333333333333,0.10000000000000002,0.10000000000000002
3.0,10.0,1.0,3.0,1.0,0.16666666666666666,0.23333333333333336,0.18333333333333335,0.18333333333333335
3.0,10.0,1.0,3.0,2.0,0.11666666666666668,0.13333333333333333,0.11666666666666668,0.11666666666666668
3.0,10.0,1.0,3.0,3.0,0.11666666666666668,0.10000000000000002,0.10000000000000002,0.10000000000000002
3.0,10.0,1.0,4.0,1.0,0.3,0.3333333333333333,0.3666666666666667,0.3666666666666667
3.0,10.0,1.0,4.0,2.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
3.0,10.0,1.0,4.0,3.0,0.16666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333
3.0,10.0,2.0,1.0,1.0,0.2285714285714286,0.2,0.1,0.15714285714285717
3.0,10.0,2.0,1.0,2.0,0.1285714285714286,0.14285714285714285,0.1,0.1
3.0,10.0,2.0,1.0,3.0,0.1,0.1142857142857143,0.1,0.1
3.0,10.0,2.0,2.0,1.0,0.19,0.2,0.22000000000000003,0.22000000000000003
3.0,10.0,2.0,2.0,2.0,0.15,0.16999999999999998,0.15,0.19
3.0,10.0,2.0,2.0,3.0,0.14,0.14,0.14,0.14
3.0,10.0,2.0,3.0,1.0,0.25,0.2,0.3,0.3
3.0,10.0,2.0,3.0,2.0,0.2,0.1,0.25,0.25
3.0,10.0,2.0,3.0,3.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002
3.0,10.0,2.0,4.0,1.0,0.22000000000000003,0.2,0.18,0.18
3.0,10.0,2.0,4.0,2.0,0.1,0.1,0.12000000000000002,0.12000000000000002
3.0,10.0,2.0,4.0,3.0,0.1,0.12000000000000002,0.1,0.1
3.0,10.0,3.0,1.0,1.0,0.2,0.18571428571428572,0.15714285714285717,0.24285714285714285
3.0,10.0,3.0,1.0,2.0,0.14285714285714285,0.17142857142857146,0.1285714285714286,0.1285714285714286
3.0,10.0,3.0,1.0,3.0,0.14285714285714285,0.1285714285714286,0.1,0.1
3.0,10.0,3.0,2.0,1.0,0.26666666666666666,0.19999999999999998,0.26666666666666666,0.26666666666666666
3.0,10.0,3.0,2.0,2.0,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.16666666666666666
3.0,10.0,3.0,2.0,3.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
3.0,10.0,3.0,3.0,1.0,0.11666666666666668,0.15,0.13333333333333333,0.13333333333333333
3.0,10.0,3.0,3.0,2.0,0.10000000000000002,0.11666666666666668,0.10000000000000002,0.10000000000000002
3.0,10.0,3.0,3.0,3.0,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
3.0,10.0,3.0,4.0,1.0,0.13333333333333333,0.15555555555555556,0.1111111111111111,0.1111111111111111
3.0,10.0,3.0,4.0,2.0,0.1,0.1111111111111111,0.1,0.1
3.0,10.0,3.0,4.0,3.0,0.1,0.1111111111111111,0.1,0.1
3.0,25.0,1.0,1.0,1.0,0.11,0.10500000000000001,0.07,0.065
3.0,25.0,1.0,1.0,2.0,0.06,0.095,0.065,0.065
3.0,25.0,1.0,1.0,3.0,0.06,0.08,0.065,0.065
3.0,25.0,1.0,2.0,1.0,0.17142857142857143,0.22285714285714286,0.10285714285714286,0.16
3.0,25.0,1.0,2.0,2.0,0.09142857142857143,0.13142857142857142,0.08,0.09714285714285713
